Titel;Indicatornaamtabel;Subtitel;kwantitatief / categoraal / multiline;Plot titel (enkel bij kwalitatief);Categorie;Tekst vraagteken;KEA;Link kaartverhaal;Bron;Kleur;Domein;Opmerking Arjen voor Daniël;klassenthresholds
Green and gray non-public;boom_perc_niet_openbaar,niet_openbaar_perc_groen,niet_openbaar_perc_nietgroen;Green in non-public areas;Multiline;;Area characteristics;These statistics show the percentage of non-public areas consisting of trees, low vegetation, and other areas (gray). Gray consists of stones, pavement, bare soil, and sand dunes. The results are based on the Green and Gray Base Map. Aerial photos were used to differentiate between low vegetation, trees, and gray. Agricultural areas were not included in the analysis. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB;Tree, Low Vegetation, Gray;Boom = boom_niet_openbaar Laag groen = niet_openbaar_m2_groen Grijs = niet_openbaar_m2_nietgroen;
Green and gray public;boom_perc_openbaar,openbaar_perc_groen,openbaar_perc_nietgroen;Green in public areas;Multiline;;Area characteristics;These statistics show the percentage of public areas consisting of trees, low vegetation, and other areas (gray). Gray consists of stones, pavement, bare soil, and sand dunes. The results are based on the Green and Gray Base Map. Aerial photos were used to differentiate between low vegetation, trees, and gray. Agricultural areas were not included in the analysis. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB;Tree, Low Vegetation, Gray;Boom = boom_openbaar Laag groen = openbaar_m2_groen Grijs = openbaar_m2_nietgroen;
Green per inhabitant;m2GroenPI;Square meters of green per inhabitant;Kwantitatief;m² of green per inhabitant;Area characteristics;These statistics show the amount of square meters of green space per inhabitant based on the Green and Gray Base Map and the CBS District and Neighborhood Map.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#CBCBCB,#9DC182,#63995C;;;
Functional areas;bebouwing_opp,openbaar_opp,overig_opp,nietopenbaar_opp,transitie_opp,water_opp,agrarisch_opp;Classification into functional areas from the Green and Gray Base Map;Multiline;;Area characteristics;These statistics show what percentage of an area consists of buildings, public space, non-public space, areas in transition, water, agricultural land, and other functions. This distribution into functional areas is an important factor for adaptation options. For example, in neighborhoods with a lot of public space, different measures are appropriate than in areas with many gardens. The division into functional areas is based on the Green and Gray Base Map. Go to the map story for more information on this classification.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#FF7F7E,#D2B87F,#E8BEFF,#B6FFF1,#FFD37F,#B4DAFF, #D0E5A4;Buildings, Public, Other, Non-public, In transition, Water, Agricultural;Graag naast de vier oppervlaktes ook Agrarisch toevoegen en onzichtbaar tonen zoals bij waterdiepte. URL naar Extra Excel: https://casclimate-my.sharepoint.com/:x:/g/personal/info_casclimate_onmicrosoft_com/EaS7-G_Sy1hKutVUBapEV2oBPaU0YV6KRTb_RBBAFvOL4Q?e=FctFRS Functioneel gebied =  (openbaar_oppervlakte + boom_openbaar_oppervlakte)/buurt_opp_incl_agrarisch, (niet_openbaar_oppervlakte + boom_niet_openbaar_oppervlakte)/buurt_opp_incl_agrarisch, (bebouwing_oppervlakte + boom_bebouwing_oppervlakte)/buurt_opp_incl_agrarisch, (water_oppervlakte + boom_water_oppervlakte)/buurt_opp_incl_agrarisch, (agrarisch_oppervlakte + boom_agrarisch_oppervlakte)/buurt_opp_incl_agrarisch, (overig_oppervlakte + boom_overig_oppervlakte)/buurt_opp_incl_agrarisch, (transitie_oppervlakte + boom_transitie_oppervlakte/buurt_opp_incl_agrarisch;
Percentage of water;percentage_water_excl_agrarisch;Percentage of water per neighborhood;;;;;;;;;;;
Population density;BEV_DICHTH;Number of inhabitants per km²;Kwantitatief;Number of inhabitants per km²;Area characteristics;These statistics show the number of inhabitants per km² based on the CBS District and Neighborhood Map 2022. In neighborhoods with a high population density, many people are exposed to climate effects. At the same time, the pressure on outdoor spaces is often high, leaving less room for adaptation measures.;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Average property value;G_WOZ;Average property value (in euros);Kwantitatief;Property value in €;Vulnerability;These statistics show the average property value (WOZ) per neighborhood based on the CBS District and Neighborhood Map 2022. The property value gives an indication of the socioeconomic status of a neighborhood. In neighborhoods with a high property value, residents can usually more easily take their own adaptation measures.;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Households at social minimum;P_H_SOCMIN;Percentage of households at or around the social minimum, vulnerable to heat;Kwantitatief;% of households;Vulnerability;These statistics show the percentage of households living around or below the social minimum. This group is particularly vulnerable to heat. Want to know more about the relationship between social vulnerability and heat? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/sociale-kwetsbaarheid-hitte;CBS (2020);#CBCBCB,#a0b7c7,steelblue;;;
Heat and frail 65+;BrozeGezon;Percentage of frail people aged 65 and older;Kwantitatief;% of frail people aged 65+;Vulnerability;These statistics show the percentage of people aged 65 and older with fragile health. This group is particularly vulnerable to heat. The concept of fragility includes physical health, mental health, and social health. Want to know more about the relationship between people aged 65 and older with fragile health and heat? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/sociale-kwetsbaarheid-hitte;RIVM (2022);#CBCBCB,#a0b7c7,steelblue;;;
Severe loneliness;F18ErnstigZ;Percentage of residents who are severely lonely;Kwantitatief;% severely lonely;Vulnerability;These statistics show the percentage of severely lonely people aged 18 and older. These people are particularly vulnerable to heat because they have few social contacts. This increases the risk of dehydration and overheating during a heatwave. For more information about these statistics, go to the RIVM Neighborhood Atlas.;nee;https://buurtatlas.vzinfo.nl/#ernstige_eenzaamheid;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Difficulty making ends meet;F18MoeiteMe;Percentage of residents who have difficulty making ends meet;Kwantitatief;% having difficulty making ends meet;Vulnerability;These statistics show the percentage of people aged 18 and older who had difficulty making ends meet in 2020. This group has less financial room to take measures against heat. For more information about these statistics, go to the RIVM Neighborhood Atlas.;nee;https://buurtatlas.vzinfo.nl/#moeite_met_rondkomen;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Severe obesity;F1865ErnsOv;Percentage of residents with severe obesity;Kwantitatief;% with severe obesity;Vulnerability;These statistics show the percentage of people aged 18 and older with severe obesity. These people are particularly vulnerable to heat. This increases the risk of dehydration and overheating during a heatwave. For more information about these statistics, go to the RIVM Neighborhood Atlas.;nee;https://buurtatlas.vzinfo.nl/#ernstig_overgewicht;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Percentage of rental properties;HuurwTperc;Percentage of rental properties;Kwantitatief;% rental properties;Kwetsbaarheid;These statistics show what percentage of the housing stock consists of rental properties. It is more difficult for residents of rental properties to make significant changes to their homes. For example, they cannot simply install sunshades. The statistics come from the CBS District and Neighborhood Map 2022.;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Births;Geboorte;Number of births per 100 inhabitants;Kwantitatief;Births per 100 inhabitants;Kwetsbaarheid;The statistics show the number of births per 100 inhabitants. Newborn babies are particularly vulnerable because they have little resistance to extreme temperatures. These statistics come from the CBS District and Neighborhood Map.;nee;externe data;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
